"","kode_provinsi","nama_provinsi","kode_kota","nama_kota"
"185",32,"JAWA BARAT",3277,"KOTA CIMAHI"
"186",32,"JAWA BARAT",3278,"KOTA TASIKMALAYA"
"187",32,"JAWA BARAT",3279,"KOTA BANJAR"
"188",33,"JAWA TENGAH",3301,"CILACAP"
"189",33,"JAWA TENGAH",3302,"BANYUMAS"
"190",33,"JAWA TENGAH",3303,"PURBALINGGA"
"191",33,"JAWA TENGAH",3304,"BANJARNEGARA"
"192",33,"JAWA TENGAH",3305,"KEBUMEN"
"193",33,"JAWA TENGAH",3306,"PURWOREJO"
"194",33,"JAWA TENGAH",3307,"WONOSOBO"
"195",33,"JAWA TENGAH",3308,"MAGELANG"
"196",33,"JAWA TENGAH",3309,"BOYOLALI"
"197",33,"JAWA TENGAH",3310,"KLATEN"
"198",33,"JAWA TENGAH",3311,"SUKOHARJO"
"199",33,"JAWA TENGAH",3312,"WONOGIRI"
"200",33,"JAWA TENGAH",3313,"KARANGANYAR"
"201",33,"JAWA TENGAH",3314,"SRAGEN"
"202",33,"JAWA TENGAH",3315,"GROBOGAN"
"203",33,"JAWA TENGAH",3316,"BLORA"
"204",33,"JAWA TENGAH",3317,"REMBANG"
"205",33,"JAWA TENGAH",3318,"PATI"
"206",33,"JAWA TENGAH",3319,"KUDUS"
"207",33,"JAWA TENGAH",3320,"JEPARA"
"208",33,"JAWA TENGAH",3321,"DEMAK"
"209",33,"JAWA TENGAH",3322,"SEMARANG"
"210",33,"JAWA TENGAH",3323,"TEMANGGUNG"
"211",33,"JAWA TENGAH",3324,"KENDAL"
"212",33,"JAWA TENGAH",3325,"BATANG"
"213",33,"JAWA TENGAH",3326,"PEKALONGAN"
"214",33,"JAWA TENGAH",3327,"PEMALANG"
"215",33,"JAWA TENGAH",3328,"TEGAL"
"216",33,"JAWA TENGAH",3329,"BREBES"
"217",33,"JAWA TENGAH",3371,"KOTA MAGELANG"
"218",33,"JAWA TENGAH",3372,"KOTA SURAKARTA"
"219",33,"JAWA TENGAH",3373,"KOTA SALATIGA"
"220",33,"JAWA TENGAH",3374,"KOTA SEMARANG"
"221",33,"JAWA TENGAH",3375,"KOTA PEKALONGAN"
"222",33,"JAWA TENGAH",3376,"KOTA TEGAL"
"223",34,"DAERAH ISTIMEWA YOGYAKARTA",3401,"KULON PROGO"
"224",34,"DAERAH ISTIMEWA YOGYAKARTA",3402,"BANTUL"
"225",34,"DAERAH ISTIMEWA YOGYAKARTA",3403,"GUNUNGKIDUL"
"226",34,"DAERAH ISTIMEWA YOGYAKARTA",3404,"SLEMAN"
"227",34,"DAERAH ISTIMEWA YOGYAKARTA",3471,"KOTA YOGYAKARTA"
"228",35,"JAWA TIMUR",3501,"PACITAN"
"229",35,"JAWA TIMUR",3502,"PONOROGO"
"230",35,"JAWA TIMUR",3503,"TRENGGALEK"
"231",35,"JAWA TIMUR",3504,"TULUNGAGUNG"
"232",35,"JAWA TIMUR",3505,"BLITAR"
"233",35,"JAWA TIMUR",3506,"KEDIRI"
"234",35,"JAWA TIMUR",3507,"MALANG"
"235",35,"JAWA TIMUR",3508,"LUMAJANG"
"236",35,"JAWA TIMUR",3509,"JEMBER"
"237",35,"JAWA TIMUR",3510,"BANYUWANGI"
"238",35,"JAWA TIMUR",3511,"BONDOWOSO"
"239",35,"JAWA TIMUR",3512,"SITUBONDO"
"240",35,"JAWA TIMUR",3513,"PROBOLINGGO"
"241",35,"JAWA TIMUR",3514,"PASURUAN"
"242",35,"JAWA TIMUR",3515,"SIDOARJO"
"243",35,"JAWA TIMUR",3516,"MOJOKERTO"
"244",35,"JAWA TIMUR",3517,"JOMBANG"
"245",35,"JAWA TIMUR",3518,"NGANJUK"
"246",35,"JAWA TIMUR",3519,"MADIUN"
"247",35,"JAWA TIMUR",3520,"MAGETAN"
"248",35,"JAWA TIMUR",3521,"NGAWI"
"249",35,"JAWA TIMUR",3522,"BOJONEGORO"
"250",35,"JAWA TIMUR",3523,"TUBAN"
"251",35,"JAWA TIMUR",3524,"LAMONGAN"
"252",35,"JAWA TIMUR",3525,"GRESIK"
"253",35,"JAWA TIMUR",3526,"BANGKALAN"
"254",35,"JAWA TIMUR",3527,"SAMPANG"
"255",35,"JAWA TIMUR",3528,"PAMEKASAN"
"256",35,"JAWA TIMUR",3529,"SUMENEP"
"257",35,"JAWA TIMUR",3571,"KOTA KEDIRI"
"258",35,"JAWA TIMUR",3572,"KOTA BLITAR"
"259",35,"JAWA TIMUR",3573,"KOTA MALANG"
"260",35,"JAWA TIMUR",3574,"KOTA PROBOLINGGO"
"261",35,"JAWA TIMUR",3575,"KOTA PASURUAN"
"262",35,"JAWA TIMUR",3576,"KOTA MOJOKERTO"
"263",35,"JAWA TIMUR",3577,"KOTA MADIUN"
"264",35,"JAWA TIMUR",3578,"KOTA SURABAYA"
"265",35,"JAWA TIMUR",3579,"KOTA BATU"
"266",36,"BANTEN",3601,"PANDEGLANG"
"267",36,"BANTEN",3602,"LEBAK"
"268",36,"BANTEN",3603,"TANGERANG"
"269",36,"BANTEN",3604,"SERANG"
"270",36,"BANTEN",3671,"KOTA TANGERANG"
"271",36,"BANTEN",3672,"KOTA CILEGON"
"272",36,"BANTEN",3673,"KOTA SERANG"
"273",36,"BANTEN",3674,"KOTA TANGERANG SELATAN"
"274",51,"BALI",5101,"JEMBRANA"
"275",51,"BALI",5102,"TABANAN"
"276",51,"BALI",5103,"BADUNG"
"277",51,"BALI",5104,"GIANYAR"
"278",51,"BALI",5105,"KLUNGKUNG"
"279",51,"BALI",5106,"BANGLI"
"280",51,"BALI",5107,"KARANGASEM"
"281",51,"BALI",5108,"BULELENG"
"282",51,"BALI",5171,"KOTA DENPASAR"
"283",52,"NUSA TENGGARA BARAT",5201,"LOMBOK BARAT"
"284",52,"NUSA TENGGARA BARAT",5202,"LOMBOK TENGAH"
"285",52,"NUSA TENGGARA BARAT",5203,"LOMBOK TIMUR"
"286",52,"NUSA TENGGARA BARAT",5204,"SUMBAWA"
"287",52,"NUSA TENGGARA BARAT",5205,"DOMPU"
"288",52,"NUSA TENGGARA BARAT",5206,"BIMA"
"289",52,"NUSA TENGGARA BARAT",5207,"SUMBAWA BARAT"
"290",52,"NUSA TENGGARA BARAT",5208,"LOMBOK UTARA"
"291",52,"NUSA TENGGARA BARAT",5271,"KOTA MATARAM"
"292",52,"NUSA TENGGARA BARAT",5272,"KOTA BIMA"
"293",53,"NUSA TENGGARA TIMUR",5301,"KUPANG"
"294",53,"NUSA TENGGARA TIMUR",5302,"TIMOR TENGAH SELATAN"
"295",53,"NUSA TENGGARA TIMUR",5303,"TIMOR TENGAH UTARA"
"296",53,"NUSA TENGGARA TIMUR",5304,"BELU"
"297",53,"NUSA TENGGARA TIMUR",5305,"ALOR"
"298",53,"NUSA TENGGARA TIMUR",5306,"FLORES TIMUR"
"299",53,"NUSA TENGGARA TIMUR",5307,"SIKKA"
"300",53,"NUSA TENGGARA TIMUR",5308,"ENDE"
"301",53,"NUSA TENGGARA TIMUR",5309,"NGADA"
"302",53,"NUSA TENGGARA TIMUR",5310,"MANGGARAI"
"303",53,"NUSA TENGGARA TIMUR",5311,"SUMBA TIMUR"
"304",53,"NUSA TENGGARA TIMUR",5312,"SUMBA BARAT"
"305",53,"NUSA TENGGARA TIMUR",5313,"LEMBATA"
"306",53,"NUSA TENGGARA TIMUR",5314,"ROTE NDAO"
"307",53,"NUSA TENGGARA TIMUR",5315,"MANGGARAI BARAT"
"308",53,"NUSA TENGGARA TIMUR",5316,"NAGEKEO"
"309",53,"NUSA TENGGARA TIMUR",5317,"SUMBA TENGAH"
"310",53,"NUSA TENGGARA TIMUR",5318,"SUMBA BARAT DAYA"
"311",53,"NUSA TENGGARA TIMUR",5319,"MANGGARAI TIMUR"
"312",53,"NUSA TENGGARA TIMUR",5320,"SABU RAIJUA"
"313",53,"NUSA TENGGARA TIMUR",5321,"MALAKA"
"314",53,"NUSA TENGGARA TIMUR",5371,"KOTA KUPANG"
"315",61,"KALIMANTAN BARAT",6101,"SAMBAS"
"316",61,"KALIMANTAN BARAT",6102,"MEMPAWAH"
"317",61,"KALIMANTAN BARAT",6103,"SANGGAU"
"318",61,"KALIMANTAN BARAT",6104,"KETAPANG"
"319",61,"KALIMANTAN BARAT",6105,"SINTANG"
"320",61,"KALIMANTAN BARAT",6106,"KAPUAS HULU"
"321",61,"KALIMANTAN BARAT",6107,"BENGKAYANG"
"322",61,"KALIMANTAN BARAT",6108,"LANDAK"
"323",61,"KALIMANTAN BARAT",6109,"SEKADAU"
"324",61,"KALIMANTAN BARAT",6110,"MELAWI"
"325",61,"KALIMANTAN BARAT",6111,"KAYONG UTARA"
"326",61,"KALIMANTAN BARAT",6112,"KUBU RAYA"
"327",61,"KALIMANTAN BARAT",6171,"KOTA PONTIANAK"
"328",61,"KALIMANTAN BARAT",6172,"KOTA SINGKAWANG"
"329",62,"KALIMANTAN TENGAH",6201,"KOTAWARINGIN BARAT"
"330",62,"KALIMANTAN TENGAH",6202,"KOTAWARINGIN TIMUR"
"331",62,"KALIMANTAN TENGAH",6203,"KAPUAS"
"332",62,"KALIMANTAN TENGAH",6204,"BARITO SELATAN"
"333",62,"KALIMANTAN TENGAH",6205,"BARITO UTARA"
"334",62,"KALIMANTAN TENGAH",6206,"KATINGAN"
"335",62,"KALIMANTAN TENGAH",6207,"SERUYAN"
"336",62,"KALIMANTAN TENGAH",6208,"SUKAMARA"
"337",62,"KALIMANTAN TENGAH",6209,"LAMANDAU"
"338",62,"KALIMANTAN TENGAH",6210,"GUNUNG MAS"
"339",62,"KALIMANTAN TENGAH",6211,"PULANG PISAU"
"340",62,"KALIMANTAN TENGAH",6212,"MURUNG RAYA"
"341",62,"KALIMANTAN TENGAH",6213,"BARITO TIMUR"
"342",62,"KALIMANTAN TENGAH",6271,"KOTA PALANGKARAYA"
"343",63,"KALIMANTAN SELATAN",6301,"TANAH LAUT"
"344",63,"KALIMANTAN SELATAN",6302,"KOTABARU"
"345",63,"KALIMANTAN SELATAN",6303,"BANJAR"
"346",63,"KALIMANTAN SELATAN",6304,"BARITO KUALA"
"347",63,"KALIMANTAN SELATAN",6305,"TAPIN"
"348",63,"KALIMANTAN SELATAN",6306,"HULU SUNGAI SELATAN"
"349",63,"KALIMANTAN SELATAN",6307,"HULU SUNGAI TENGAH"
"350",63,"KALIMANTAN SELATAN",6308,"HULU SUNGAI UTARA"
"351",63,"KALIMANTAN SELATAN",6309,"TABALONG"
"352",63,"KALIMANTAN SELATAN",6310,"TANAH BUMBU"
"353",63,"KALIMANTAN SELATAN",6311,"BALANGAN"
"354",63,"KALIMANTAN SELATAN",6371,"KOTA BANJARMASIN"
"355",63,"KALIMANTAN SELATAN",6372,"KOTA BANJARBARU"
"356",64,"KALIMANTAN TIMUR",6401,"PASER"
"357",64,"KALIMANTAN TIMUR",6402,"KUTAI KARTANEGARA"
"358",64,"KALIMANTAN TIMUR",6403,"BERAU"
"359",64,"KALIMANTAN TIMUR",6407,"KUTAI BARAT"
"360",64,"KALIMANTAN TIMUR",6408,"KUTAI TIMUR"
"361",64,"KALIMANTAN TIMUR",6409,"PENAJAM PASER UTARA"
"362",64,"KALIMANTAN TIMUR",6411,"MAHAKAM ULU"
"363",64,"KALIMANTAN TIMUR",6471,"KOTA BALIKPAPAN"
"364",64,"KALIMANTAN TIMUR",6472,"KOTA SAMARINDA"
"365",64,"KALIMANTAN TIMUR",6474,"KOTA BONTANG"
"366",65,"KALIMANTAN UTARA",6501,"BULUNGAN"
"367",65,"KALIMANTAN UTARA",6502,"MALINAU"
"368",65,"KALIMANTAN UTARA",6503,"NUNUKAN"
"369",65,"KALIMANTAN UTARA",6504,"TANA TIDUNG"
"370",65,"KALIMANTAN UTARA",6571,"KOTA TARAKAN"
"371",71,"SULAWESI UTARA",7101,"BOLAANG MONGONDOW"
"372",71,"SULAWESI UTARA",7102,"MINAHASA"
"373",71,"SULAWESI UTARA",7103,"KEPULAUAN SANGIHE"
"374",71,"SULAWESI UTARA",7104,"KEPULAUAN TALAUD"
"375",71,"SULAWESI UTARA",7105,"MINAHASA SELATAN"
"376",71,"SULAWESI UTARA",7106,"MINAHASA UTARA"
"377",71,"SULAWESI UTARA",7107,"MINAHASA TENGGARA"
"378",71,"SULAWESI UTARA",7108,"BOLAANG MONGONDOW UTARA"
"379",71,"SULAWESI UTARA",7109,"KEP. SIAU TAGULANDANG BIARO"
"380",71,"SULAWESI UTARA",7110,"BOLAANG MONGONDOW TIMUR"
"381",71,"SULAWESI UTARA",7111,"BOLAANG MONGONDOW SELATAN"
"382",71,"SULAWESI UTARA",7171,"KOTA MANADO"
"383",71,"SULAWESI UTARA",7172,"KOTA BITUNG"
"384",71,"SULAWESI UTARA",7173,"KOTA TOMOHON"
"385",71,"SULAWESI UTARA",7174,"KOTA KOTAMOBAGU"
"386",72,"SULAWESI TENGAH",7201,"BANGGAI"
"387",72,"SULAWESI TENGAH",7202,"POSO"
"388",72,"SULAWESI TENGAH",7203,"DONGGALA"
"389",72,"SULAWESI TENGAH",7204,"TOLITOLI"
"390",72,"SULAWESI TENGAH",7205,"BUOL"
"391",72,"SULAWESI TENGAH",7206,"MOROWALI"
"392",72,"SULAWESI TENGAH",7207,"BANGGAI KEPULAUAN"
"393",72,"SULAWESI TENGAH",7208,"PARIGI MOUTONG"
"394",72,"SULAWESI TENGAH",7209,"TOJO UNA-UNA"
"395",72,"SULAWESI TENGAH",7210,"SIGI"
"396",72,"SULAWESI TENGAH",7211,"BANGGAI LAUT"
"397",72,"SULAWESI TENGAH",7212,"MOROWALI UTARA"
"398",72,"SULAWESI TENGAH",7271,"KOTA PALU"
"399",73,"SULAWESI SELATAN",7301,"KEPULAUAN SELAYAR"
"400",73,"SULAWESI SELATAN",7302,"BULUKUMBA"
"401",73,"SULAWESI SELATAN",7303,"BANTAENG"
"402",73,"SULAWESI SELATAN",7304,"JENEPONTO"
"403",73,"SULAWESI SELATAN",7305,"TAKALAR"
"404",73,"SULAWESI SELATAN",7306,"GOWA"
"405",73,"SULAWESI SELATAN",7307,"SINJAI"
"406",73,"SULAWESI SELATAN",7308,"BONE"
"407",73,"SULAWESI SELATAN",7309,"MAROS"
"408",73,"SULAWESI SELATAN",7310,"PANGKAJENE DAN KEPULAUAN"
"409",73,"SULAWESI SELATAN",7311,"BARRU"
"410",73,"SULAWESI SELATAN",7312,"SOPPENG"
"411",73,"SULAWESI SELATAN",7313,"WAJO"
"412",73,"SULAWESI SELATAN",7314,"SIDENRENG RAPPANG"
"413",73,"SULAWESI SELATAN",7315,"PINRANG"
"414",73,"SULAWESI SELATAN",7316,"ENREKANG"
"415",73,"SULAWESI SELATAN",7317,"LUWU"
"416",73,"SULAWESI SELATAN",7318,"TANA TORAJA"
"417",73,"SULAWESI SELATAN",7322,"LUWU UTARA"
"418",73,"SULAWESI SELATAN",7324,"LUWU TIMUR"
"419",73,"SULAWESI SELATAN",7326,"TORAJA UTARA"
"420",73,"SULAWESI SELATAN",7371,"KOTA MAKASSAR"
"421",73,"SULAWESI SELATAN",7372,"KOTA PARE PARE"
"422",73,"SULAWESI SELATAN",7373,"KOTA PALOPO"
"423",74,"SULAWESI TENGGARA",7401,"KOLAKA"
"424",74,"SULAWESI TENGGARA",7402,"KONAWE"
"425",74,"SULAWESI TENGGARA",7403,"MUNA"
"426",74,"SULAWESI TENGGARA",7404,"BUTON"
"427",74,"SULAWESI TENGGARA",7405,"KONAWE SELATAN"
"428",74,"SULAWESI TENGGARA",7406,"BOMBANA"
"429",74,"SULAWESI TENGGARA",7407,"WAKATOBI"
"430",74,"SULAWESI TENGGARA",7408,"KOLAKA UTARA"
"431",74,"SULAWESI TENGGARA",7409,"KONAWE UTARA"
"432",74,"SULAWESI TENGGARA",7410,"BUTON UTARA"
"433",74,"SULAWESI TENGGARA",7411,"KOLAKA TIMUR"
"434",74,"SULAWESI TENGGARA",7412,"KONAWE KEPULAUAN"
"435",74,"SULAWESI TENGGARA",7413,"MUNA BARAT"
"436",74,"SULAWESI TENGGARA",7414,"BUTON TENGAH"
"437",74,"SULAWESI TENGGARA",7415,"BUTON SELATAN"
"438",74,"SULAWESI TENGGARA",7471,"KOTA KENDARI"
"439",74,"SULAWESI TENGGARA",7472,"KOTA BAU BAU"
"440",75,"GORONTALO",7501,"GORONTALO"
"441",75,"GORONTALO",7502,"BOALEMO"
"442",75,"GORONTALO",7503,"BONE BOLANGO"
